mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
68.68904566764832,6.404086156459651,1.490557352701823,0.41271074236570066,0.8,31,150,10,0.1,0.8,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.969338257905219,0.967191855602085,0.9687609190686777,0.9684303441919938,0.00090690702336591,6
49.24837319056193,0.5779323113031617,1.8435689608256023,0.09155881471140222,0.8,31,100,-1,0.1,0.8,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.968701639503203,0.9676397177628889,0.9677536725323141,0.9680316765994688,0.0004760141045905792,9
172.21265212694803,2.542022245689182,3.2589736779530845,1.2921147805056754,1.0,128,150,10,0.1,0.8,"{'subsample': 1.0, 'num_leaves': 128, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.9696172876473053,0.9685517181659125,0.9691288422914093,0.9690992827015424,0.00043551877642933546,1
158.9498600165049,16.46884813444864,2.339978059132894,0.6415571982214061,1.0,64,150,-1,0.03,0.8,"{'subsample': 1.0, 'num_leaves': 64, 'n_estimators': 150, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.9691640009068487,0.9681854979514348,0.9688336248291609,0.9687277078958149,0.0004064322871160026,3
49.42290425300598,0.6746059807710709,0.9579029083251953,0.1746528946163893,0.8,31,100,10,0.03,1.0,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9678368101085675,0.9664238055104833,0.9671990946430363,0.9671532367540291,0.0005777673742028467,10
50.09364239374796,4.588237881702806,0.6762588024139404,0.00946641768054971,0.8,31,100,10,0.1,0.8,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.968769996717364,0.9675543763434187,0.9678707881698876,0.9680650537435568,0.0005149353087022861,8
105.00378934542339,6.887103520784171,1.4341676235198975,0.3892422854494215,1.0,64,100,-1,0.05,1.0,"{'subsample': 1.0, 'num_leaves': 64, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.9690392275544295,0.967782046388978,0.9693248168164419,0.9687153635866165,0.0006701746290830783,4
183.53981908162436,2.2651082798246645,3.510500351587931,0.515676467330518,0.8,128,200,10,0.03,1.0,"{'subsample': 0.8, 'num_leaves': 128, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9692242823798682,0.9683257856604428,0.9685091006239218,0.9686863895547443,0.0003876403938778814,5
123.18671075503032,6.108294744730324,1.9057861963907878,0.20082110740287928,0.8,64,200,20,0.05,1.0,"{'subsample': 0.8, 'num_leaves': 64, 'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.969301237610546,0.9681852722728636,0.9687712382744845,0.968752582719298,0.00045578187841090157,2
40.90089535713196,1.123281606392479,0.9078233242034912,0.12061220460756056,0.8,31,100,20,0.1,0.8,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.968701639503203,0.9676397177628889,0.9683397949374088,0.9682270507345002,0.0004407969200626126,7
